Geography,Category,Data Type,Unit,Currency Conversion,Current Constant,2021,minimun_wage_THB
Cambodia,Minimum Wage per Hour,Socio-economic indicators,USD,Fixed 2021 ex rates,Current Prices,1.0,32.1
Cambodia,Minimum Wage per Month,Socio-economic indicators,USD,Fixed 2021 ex rates,Current Prices,194.7,6253.8
Cambodia,Ratio of Minimum Wage to Average Wage,Socio-economic indicators,%,Volume,-,98.8,98.8
Indonesia,Minimum Wage per Hour,Socio-economic indicators,USD,Fixed 2021 ex rates,Current Prices,1.1,35.3
Indonesia,Minimum Wage per Month,Socio-economic indicators,USD,Fixed 2021 ex rates,Current Prices,188.9,6067.5
Indonesia,Ratio of Minimum Wage to Average Wage,Socio-economic indicators,%,Volume,-,102.9,102.9
Laos,Minimum Wage per Hour,Socio-economic indicators,USD,Fixed 2021 ex rates,Current Prices,0.7,22.5
Laos,Minimum Wage per Month,Socio-economic indicators,USD,Fixed 2021 ex rates,Current Prices,123.1,3954.0
Laos,Ratio of Minimum Wage to Average Wage,Socio-economic indicators,%,Volume,-,41.4,41.4
Malaysia,Minimum Wage per Hour,Socio-economic indicators,USD,Fixed 2021 ex rates,Current Prices,1.4,45.0
Malaysia,Minimum Wage per Month,Socio-economic indicators,USD,Fixed 2021 ex rates,Current Prices,289.6,9302.0
Malaysia,Ratio of Minimum Wage to Average Wage,Socio-economic indicators,%,Volume,-,23.5,23.5
Myanmar,Minimum Wage per Hour,Socio-economic indicators,USD,Fixed 2021 ex rates,Current Prices,0.3,9.6
Myanmar,Minimum Wage per Month,Socio-economic indicators,USD,Fixed 2021 ex rates,Current Prices,62.0,1991.4
Myanmar,Ratio of Minimum Wage to Average Wage,Socio-economic indicators,%,Volume,-,20.9,20.9
Philippines,Minimum Wage per Hour,Socio-economic indicators,USD,Fixed 2021 ex rates,Current Prices,1.8,57.8
Philippines,Minimum Wage per Month,Socio-economic indicators,USD,Fixed 2021 ex rates,Current Prices,320.9,10307.3
Philippines,Ratio of Minimum Wage to Average Wage,Socio-economic indicators,%,Volume,-,94.4,94.4
Thailand,Minimum Wage per Hour,Socio-economic indicators,USD,Fixed 2021 ex rates,Current Prices,1.5,48.2
Thailand,Minimum Wage per Month,Socio-economic indicators,USD,Fixed 2021 ex rates,Current Prices,273.1,8772.0
Thailand,Ratio of Minimum Wage to Average Wage,Socio-economic indicators,%,Volume,-,54.2,54.2
Vietnam,Minimum Wage per Hour,Socio-economic indicators,USD,Fixed 2021 ex rates,Current Prices,0.7,22.5
Vietnam,Minimum Wage per Month,Socio-economic indicators,USD,Fixed 2021 ex rates,Current Prices,134.5,4320.1
Vietnam,Ratio of Minimum Wage to Average Wage,Socio-economic indicators,%,Volume,-,47.3,47.3
Singapore,Minimum Wage per Hour,Socio-economic indicators,USD,Fixed 2021 ex rates,Current Price,5.8,186.3
Singapore,Minimum Wage per Month,Socio-economic indicators,USD,Fixed 2021 ex rates,Current Prices,1000.0,32120.0
